2016-09-02,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-03,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-04,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-05,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-06,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-07,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-08,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-09,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-10,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-11,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-12,100%,21.43%,0%,0%,0%,0%,0%,0%
2016-09-13,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-14,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-15,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-16,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-17,100%,20%,0%,0%,0%,0%,0%,0%
2016-09-18,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-19,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-20,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-21,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-22,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-23,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-24,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-25,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-26,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-27,100%,30%,0%,0%,0%,0%,0%,0%
2016-09-28,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-29,100%,0%,0%,0%,0%,0%,0%,0%
2016-09-30,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-01,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-02,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-03,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-04,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-05,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-06,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-07,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-08,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-09,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-10,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-11,100%,20%,20%,0%,0%,0%,0%,0%
2016-08-12,100%,12.5%,0%,0%,0%,0%,0%,0%
2016-08-13,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-14,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-15,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-16,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-17,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-18,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-19,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-20,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-21,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-22,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-23,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-24,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-25,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-26,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-27,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-28,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-29,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-30,100%,0%,0%,0%,0%,0%,0%,0%
2016-08-31,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-01,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-02,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-03,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-04,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-05,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-06,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-07,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-08,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-09,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-10,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-11,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-12,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-13,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-14,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-15,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-16,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-17,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-18,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-19,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-20,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-21,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-22,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-07-23,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-24,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-25,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-07-26,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-27,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-28,100%,12.5%,12.5%,0%,0%,0%,0%,0%
2016-07-29,100%,12.5%,0%,0%,0%,0%,0%,0%
2016-07-30,100%,0%,0%,0%,0%,0%,0%,0%
2016-07-31,100%,0%,0%,0%,0%,0%,0%,0%
2016-06-01,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-02,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-03,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-04,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-05,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-06,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-07,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-08,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-09,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-10,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-11,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-12,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-13,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-14,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-15,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-16,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-17,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-18,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-19,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-20,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-21,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-06-22,100%,7.14%,7.14%,7.14%,0%,0%,0%,0%
2016-06-23,100%,4.35%,4.35%,0%,0%,0%,0%,0%
2016-06-24,100%,5.88%,0%,0%,0%,0%,0%,0%
2016-06-25,100%,0%,0%,0%,0%,0%,0%,0%
2016-06-26,100%,0%,0%,0%,0%,0%,0%,0%
2016-06-27,100%,14.29%,14.29%,14.29%,0%,0%,0%,0%
2016-06-28,100%,6.67%,6.67%,0%,0%,0%,0%,0%
2016-06-29,100%,8.33%,0%,0%,0%,0%,0%,0%
2016-06-30,100%,0%,0%,0%,0%,0%,0%,0%
